lid,zd,vdatum,lat,lon,elev
AARN5,,,35.1363,-106.6897,0
ABAN5,,NGVD 1929,34.4463888888889,106.496111111111,5520
ABQN5,4946.16,NGVD29,35.089167,106.680556,4946
ACGN5,,,35.592222222222,107.18944444444,0
ACMN5,3510,NGVD 1929,33.536111,104.376667,3510
AICN5,6040,NGVD 1929,36.237222,106.4175,6040
ANFN5,5015,NGVD 1929,35.198056,106.599722,5015
ARAN5,6750,NGVD 1929,33.8913888888889,108.515,6750
ARCN5,5653,NGVD29,36.801944444444,107.69861111111,5653
ARFN5,5280,NGVD 1929,36.7225,108.201944,5280
ATCN5,5130,NGVD 1929,35.178611,105.108889,5130
AZRN5,,,36.817777777778,108.02444444444,0
BCAN5,7410,NGVD 1929,35.2677777777778,108.113888888889,7410
BELN5,,NGVD 1929,34.652778,106.736111,
BNDN5,4722.34,NGVD 1929,34.410278,106.854444,4722.34
BNMN5,,,35.7577777777778,106.329444444444,0
BRGN5,,,34.870555555556,106.72,4860
BRLN5,,NGVD 1929,35.284722,106.595833,5030
CATN5,,,33.375833333333,108.83527777778,0
CBDN5,9290,NGVD 1929,36.8738888888889,105.279722222222,9290
CCAN5,9428,NGVD 1929,36.898333333333,105.25472222222,9248
CCCN5,9400,NGVD 1929,36.896944444444,105.26055555556,9400
CCSN5,7760,NGVD 1929,36.9891666666667,105.531666666667,7760
EDRN5,3740,NGVD 1929,33.401389,104.631667,3740
LCRN5,,,35.356944444444,103.41805555556,3667
CDRC2,5960,NGVD 1929,37.036667,107.875278,5960
CERN5,7110,NGVD 1929,36.74,105.683889,7110
CGRN5,,,35.4622222222222,106.208333333333,5500
CHRN5,6710,NGVD 1929,35.6011111111111,108.586666666667,6710
CMLN5,6290,NGVD 1929,35.4616666666667,108.945,6290
CMMN5,6599.58,NGVD 1929,36.519722,104.978611,6600
CMRN5,6630,NGVD29,36.573611111111,104.94666666667,6630
CMTN5,5653.61,NGVD29,36.073611,106.111667,5654
COLN5,4940,NGVD 1929,35.181944,104.900278,4940
CORN5,5008.59,NGVD 1929,34.7938888888889,106.988888888889,5009
COSN5,7900,NGVD 1929,36.966944444444,105.50722222222,7900
CRCN5,6720,NGVD 1929,36.3722222222222,104.969444444444,6720
CREN5,5474.88,NGVD 1929,34.9675,107.169444444444,5475
CTDN5,5226.08,NGVD 1929,35.618056,106.323889,5226
CYCN5,6780,NGVD 1929,35.916388888889,105.16416666667,6780
CYON5,6460,NGVD 1929,35.964722222222,105.90472222222,6460
DARN5,4190,NGVD 1929,33.349167,104.851667,4190
DAWN5,6360,NGVD 1929,36.681111,104.786389,6360
DHON5,7188.85,NGVD 1929,36.7066666666667,106.745,7189
DIXN5,5858.6,NGVD29,36.210833,105.913611,5859
DLPN5,,,34.063333333333,104.30666666667,3760
ECNN5,,,33.409722222222,105.74083333333,7900
EGCN5,8080,NGVD 1929,36.5319444444444,105.228611111111,8080
EMBN5,5789.14,NGVD29,36.205556,105.963889,5789.1
ESPN5,5570.91,NWS RECORDS E-19,35.988056,106.075,5570.9
FMCN5,,,32.6861,-105.2144,0
FRMN5,5230.37,NGVD 1929,36.723056,108.225556,5230
FSCN5,4034.7,4034.7,34.508333333333,104.27833333333,4035
GDLN5,5920,NGVD 1929,35.5925,107.188611111111,5920
GNTN5,6272.92,NGVD 1929,35.074444444444,107.75111111111,6272.9
GOLN5,6750,NGVD 1929,35.890833,105.163611,6750
GPRN5,6480,NGVD 1929,35.5291666666667,108.744722222222,6480
GRTN5,6468.34,NGVD 1929,35.154444,107.869722,6468
GSFN5,4560,NGVD 1929,33.247222,108.88,4560
HAHN5,,NGVD29,35.1211,-106.5677,5298
HBRN5,6248,NGVD 1929,36.7872222222222,104.461666666667,6248
HEWN5,7196.29,NGVD 1929,36.7425,106.62611111111,7196
HGMN5,3403.4,NGVD29,33.125,104.34444444444,3403
HRRN5,,NGVD 1929,33.383333,105.275,
IBCN5,4880,,34.9111111111111,106.679444444444,4880
IRGN5,,,34.8802777777778,106.711388888889,0
ISLN5,4890,NGVD 1929,34.946666666667,106.68027777778,5375
JECN5,5162,NGVD29,35.394722,106.544722,5162
JEZN5,5622,NGVD 1929,35.661944,106.743333,5622
LATN5,3327.07,NGVD29,32.989167,104.320833,3327
LCVN5,7000,NAD83,35.945,105.255833,7025
LGCN5,3668.1,NGVD 1929,35.3569444444444,103.4175,3668.1
LGNN5,3660,NGVD 1929,35.344444,103.389722,3660
LMDN5,6358.84,NGVD 1929,36.349722,106.044167,6359
LOBOS,4946.16,NGVD29,35.089444444444,106.68083333333,4946
LOGN5,3815,NGVD 1929,35.43852778,103.5257944,3820
LPFN5,5215,NGVD 1929,36.7375,108.25027777778,5215
LPRN5,,,36.930833333333,108.18472222222,0
LSDN5,,NGVD29,36.05,-105.4544,9400
MONN5,,NGVD 1929,33.5691666666667,107.5925,6142
MTZN5,6880,NGVD29,35.651944,105.318889,6880
NBFN5,,,35.845555555556,105.90611111111,6780
NVDN5,,,36.9613888888889,106.978888888889,0
NVRN5,,,36.800277777778,107.61277777778,6020
ORTC2,8040,NGVD 1929,36.9822222222222,106.073055555556,8040
OTWN5,5488.48,NGVD29,35.874444,106.1425,5488.5
PBTN5,3910,NGVD29,34.332222222222,104.181111111111,3910
PCCN5,4948.352,LEVELING,33.355556,105.159722,4948
PCDN5,,NAD83,33.268333333333,104.35444444444,3438
PCON5,7502.94,NGVD 1929,35.708333,105.682778,7503
PECN5,4800,NGVD29,35.091388888889,104.80055555556,4800
PFSN5,4020,NGVD 1929,34.475833333333,104.25833333333,4020
PRHN5,4945,NGVD 1929,33.356944,105.156944,4945
PSDN5,4142.99,NGVD29,34.604166666667,104.38805555556,4143
ROBX5,,,45.6052777777778,97.0030555555556,0
PASW,,,61.966666666667,151.19,150
PUEN5,4311.34,NGVD 1929,34.73,104.525,4311
PXMN5,,,33.8530555555556,104.291388888889,4930
QLCN5,,,34.3236111111111,108.527777777778,6900
RCAN5,6280,NGVD 1929,36.318889,106.599444,6280
RCEN5,6696.12,NGVD 1929,36.580278,106.724722,6696
RCHN5,,NGVD 1929,36.2166666666667,106.25,0
RCRN5,6640,NGVD 1929,36.927222,104.439444,6640
RFBN5,4722.55,NGVD29,34.416944444444,106.8,4723
RFRN5,7735,NGVD29,36.737777777778,-106.46666666667,7735
RGAN5,,,35.181944444444,106.65194444444,4990
RGBN5,,,35.197777777778,106.64277777778,0
RGCN5,5450,NGVD 1929,35.464722,106.213333,5450
RGEN5,,,34.120833333333,106.88694444444,0
RGQN5,,,34.545,106.7625,0
RGSN5,,NAD29,33.926666666667,106.85111111111,0
RGTN5,,NAD83,36.303055555556,105.58083333333,7240
RGWN5,,,35.7808333333333,106.205833333333,5390
RHHN5,,,33.371388888889,105.2575,5160
RHRN5,3500,NGVD29,33.408888888889,104.47166666667,3500
RIPN5,5950,NGVD 1929,35.600833,107.166667,5950
RLAN5,8051.44,NGVD29,36.508333333333,105.53111111111,8051.4
RLPN5,7083,NGVD29,36.662777777778,106.63333333333,7083
RNAN5,6840,NGVD 1929,35.846111111111,105.90972222222,6840
RNRN5,6860,NGVD 1929,35.2825,108.55305555556,6860
RPDN5,5290,NGVD29,32.881388888889,105.17805555556,5290
RPHN5,,NGVD29,32.836666666667,105.06944444444,4931
RPPN5,7760,NGVD29,36.168611111111,105.60277777778,7760
RPTN5,7380,NGVD 1929,36.439444444444,105.50361111111,7380
RRFN5,7070,NGVD 1929,36.682777777778,105.65416666667,7105
RRHN5,3949.68,NGVD29,33.3,104.72166666667,3950
RRQN5,7451.92,NGVD 1929,36.703333333333,105.56861111111,7452
RRUN5,7160,NGVD 1929,33.336666666667,105.72638888889,7160
RSBN5,8640,NGVD 1929,36.1036111111111,105.620555555556,8640
RSFN5,5820,NGVD 1929,33.736667,108.771111,5820
RSWN5,3441.6,NWS RECORDS,33.4222222222222,104.383333333333,3442
RTTN5,6685,,35.7669444444444,105.9375,6685
RUHN5,6420,NGVD 1929,33.326666666667,105.62527777778,6420
SAOC2,7970,NGVD 1929,36.993055555556,106.03805555556,7970
SARN5,,NGVD 1929,34.9433333333333,104.698611111111,4538
SCAN5,4765,NGVD 1929,34.2972222222222,106.899722222222,4765
SCCN5,4652.5,NGVD 1929,34.2483333333333,106.901111111111,4652.5
SDVN5,,,35.002778,106.657222,4930
SFAN5,,,35.688611111111,105.82416666667,7920
SFCN5,,NAD83,35.547222222222,106.22888888889,5505
SFMN5,7780,,35.687222222222,105.83583333333,7790
SFNN5,,,35.69,105.87944444444,7313
SFPN5,5115.73,NGVD 1929,35.444722,106.439722,5116
SFRN5,7720,NGVD 1929,35.686388888889,105.84361111111,7720
SHON5,6140,NGVD 1929,35.8002777777778,104.782777777778,6140
SHRN5,4890,NGVD29,36.776666666667,108.83111111111,4890
ZUIN5,6450,NGVD29,35.100277777778,108.75166666667,6450
SMCN5,4454,NGVD 1929,33.6875,106.994444,4454
SMFN5,4455.19,NGVD 1929,33.679167,106.996944,4455
SNAN5,4654.5,NGVD29,34.256389,106.890833,4655
SNCN5,4500,NGVD 1929,35.654722,104.378611,4500
SNTN5,9480,NGVD 1929,36.8841666666667,105.280555555556,9480
SOCN5,4660.16,NGVD 1929,34.254722,106.895278,4660.16
SPGN5,5770,NGVD 1929,36.360278,104.598056,5770
SRDN5,4640,NGVD 1929,35.0241666666667,104.688888888889,4640
SRPN5,4760,NGVD 1929,35.059444444444,104.76111111111,4760
TBCN5,6650,NGVD 1929,36.379444,105.667778,6650
THCN5,7420,NGVD 1929,35.3422222222222,108.211666666667,7420
TIAN5,,,35.061111,106.477778,5660
TIJN5,5000,NGVD 1929,35.0025,106.649167,5000
TJBN5,6050.3,NGVD 1929,36.32,105.754444,6050
TRON5,7890,NGVD 1929,35.777222,105.6575,7890
TSNN5,,,36.651944444444,105.97194444444,8172
TSQN5,,NGVD 1929,35.739444444444,105.905,7220
TYLN5,5640,NGVD 1929,36.2975,104.495556,5640
VADN5,7650,NGVD 1929,36.541666666667,105.55638888889,7650
VRDN5,4390,NGVD 1929,35.402778,104.443056,4390
WBHN5,,,36.662777777778,106.70555555556,6935
WFGN5,,,33.229444444444,-108.25,5698
WOON5,,HGVD29,35.0488,-106.6186,4946
ZRSN5,6020,NGVD 1929,34.8763888888889,109.041388888889,6020
ABNS2,,,45.711388888889,99.129722222222,1987
PASX,,,60.475,151.03666666667,107
AFCS2,1325,NGVD29,45.519167,98.577222,1325
AMCS2,1295,NGVD29,45.470556,98.453611,1295
ATNS2,1244.4,NGVD29,44.998333,98.480556,1244
BBDS2,0,USGS WRD-SD,44.038333,99.445833,1420
BCPS2,1240,NGVD29,45.4875,96.958056,1240
BDLXX,1820,,45.346666666667,97.251944444444,1820
BGCS2,996.96,NGVD12,45.291667,96.487222,997
BIGX5,,,45.4125,96.3455555555555,0
BITS2,,,45.183889,97.381944,0
BLUS2,,,45.341111,97.317222,0
BROX5,,,45.6408333333333,98.4052777777778,0
BSLM5,956.38,,45.309167,96.468056,956.4
BSTS2,,,45.304722222222,96.508888888889,1110
BSWS2,1694.29,NGVD29,44.847778,97.049167,1694.3
BUFX5,,,44.0769444444444,99.2391666666667,0
BWLS2,,,45.441111111111,99.675833333333,0
CAMX5,,,45.7680555555556,100.0275,0
CBAS2,0,1990 WPRS SURVEY,45.733333333333,98.307777777778,1200
CCKS2,1440.32,,44.0775,99.380833333333,1440
CLAX5,,,44.8630555555556,97.7052777777778,0
CMBS2,1272.91,NGVD29,45.603611,98.31,1273
CODX5,,,44.9961111111111,97.2902777777778,0
CORX5,,,45.6863888888889,101.3,0
CSWS2,1667.52,NGVD29,44.731667,97.044444,1667.5
DAYX5,,,45.3502777777778,97.5672222222222,0
DEWX5,,,45.1872222222222,101.782777777778,0
DMTM5,,,45.716111,96.348333,1045
DULX5,,,44.7775,96.6913888888889,0
DUMM5,,,45.6925,96.315833,1057
EDMX5,,,45.4383333333333,99.2027777777778,0
ERFS2,1455,NGVD29,45.8375,98.701667,1455
FALX5,,,45.0925,98.1344444444444,0
FLOS2,1780.57,NGVD29,45.180833,97.185833,1780
FRMS2,1400,NGVD29,44.334167,100.265,1400
FTPS2,1427.83,NGVD29,44.326667,100.383889,1428
GAVS2,1600,,44.1777777777778,99.2508333333333,1678
GRAX5,,,45.135,96.6791666666667,0
GRYS2,1580,USGS WRD-SD,44.7394444444444,96.4572222222222,1580
HAMX5,,,44.6780555555556,97.1583333333333,0
HANX5,,,44.5813888888889,100.675277777778,0
HLDS2,,,44.3547222222222,99.8058333333333,1800
HRMM5,,,45.803333333333,96.258611111111,0
HUEX5,,,44.3738888888889,100.008888888889,0
HYDX5,,,44.5622222222222,99.4925,0
ID8S2,1259.3,NGVD29,44.883333,98.512778,1259.3
ISWS2,,,44.3347222222222,100.265277777778,1700
JONX5,,,43.9775,100.678888888889,0
JSLS2,1200,NGVD29,45.936389,98.173889,1200
KAMS2,1700,NGVD29,44.948889,97.160556,1697.9
KMPS2,1700,NGVD29,44.917222,97.187222,1697.9
LANS2,,,45.057222222222,101.46777777778,1700
LFIS2,1400,NGVD29,44.351944,100.358611,1400
